customer_id,age,gender,region,city_population,family_status,children,education,employment_type,monthly_income,owns_car,owns_house,years_with_bank,number_of_bank_products,average_monthly_balance,has_credit,loan_amount,credit_score,number_of_card_transactions_month,online_payments_share,mobile_app_usage,smartphone_brand,smartphone_price,smartphone_age_months,marketing_contacts_last_year,previous_campaign_response,previous_insurance,insurance_claims,accepted
C100022,50,F,Омск,1092575,married,2,bachelor,employed,94666,1,1,3.1,3,69734.04,1,485394.74,566.8,24,0.582,6.6,Samsung,53913,27,3,0,0,,0
C100023,32,M,Ростов-на-Дону,1117433,single,0,bachelor,employed,76551,0,0,6.1,4,26251.39,1,290146.89,588.4,33,0.831,16.5,Xiaomi,16817,27,2,0,0,,0
C100024,34,M,Самара,1194959,single,0,bachelor,employed,78316,0,0,14.2,2,83970.77,0,,690.8,30,0.727,4.4,Apple,60801,16,9,0,1,0.0,1
C100025,43,F,Краснодар,1082734,married,4,secondary,employed,48500,1,1,5.6,1,48665.32,1,765050.31,498.2,13,0.565,1.3,Xiaomi,11822,33,2,0,1,0.0,0
C100026,44,M,Краснодар,1146779,married,3,bachelor,employed,47109,0,0,8.3,1,24400.51,0,,527.0,9,0.51,2.4,Huawei,18807,10,2,0,1,0.0,0
C100027,31,M,Новосибирск,1601227,single,0,secondary,employed,53854,0,0,6.1,1,24745.52,1,604775.29,608.6,17,0.504,12.5,Xiaomi,15636,33,1,0,0,,0
C100028,26,F,Самара,1189391,single,0,bachelor,employed,44554,0,0,2.0,1,64539.59,1,830881.56,614.7,13,0.692,9.3,Xiaomi,25731,10,1,1,0,,0
C100029,54,F,Москва,12506082,married,0,bachelor,employed,172801,1,1,3.0,4,211130.33,1,2091887.96,843.0,34,0.818,5.1,Apple,68541,5,2,1,0,,1
C100030,18,M,Нижний Новгород,1295221,single,0,master,employed,109473,0,0,0.0,1,78898.52,1,1448883.2,618.9,48,0.942,2.1,Apple,99392,6,0,1,1,0.0,0
C100031,38,M,Екатеринбург,1428076,married,3,secondary,employed,75371,1,0,5.7,3,73861.72,1,1332053.93,636.6,22,0.842,2.6,Samsung,64363,20,5,0,0,,0
C100032,38,M,Санкт-Петербург,5327233,single,0,bachelor,self_employed,81763,0,0,2.7,2,174778.84,1,485210.65,670.0,41,0.878,1.5,Apple,57125,23,4,0,0,,0
C100033,53,F,Омск,1131029,married,2,master,employed,71119,0,1,5.4,1,40091.76,1,624681.47,557.6,17,0.36,5.3,Other,14788,7,5,0,0,,0
C100034,33,F,Нижний Новгород,1231467,single,0,bachelor,employed,158656,0,1,7.1,6,74687.8,1,7048665.19,763.4,44,0.89,2.9,Samsung,52878,5,3,0,1,1.0,1
C100035,33,F,Самара,1175763,single,1,master,self_employed,143165,0,0,6.4,3,115402.03,1,1285229.38,611.5,54,0.974,15.9,Samsung,43714,15,2,0,1,1.0,1
C100036,36,M,Самара,1158416,married,0,bachelor,employed,55132,0,0,3.9,3,21535.57,0,,514.1,24,0.906,4.6,Xiaomi,19900,24,2,0,1,1.0,0
C100037,42,M,Санкт-Петербург,5326323,single,0,bachelor,employed,170215,1,0,2.6,4,418210.08,0,,751.1,35,0.946,18.2,Google,101797,14,4,0,1,2.0,1
C100038,32,M,Казань,1288996,married,1,bachelor,employed,112718,1,1,3.6,1,228962.98,1,961713.49,683.0,25,0.78,2.5,Google,74918,18,2,0,0,,0
C100039,72,F,Москва,13259867,married,4,bachelor,employed,60490,0,0,5.3,2,111043.68,0,,645.0,13,0.441,1.1,Other,7171,24,2,0,1,2.0,0
C100040,57,F,Краснодар,1079446,married,2,secondary,employed,71937,1,0,17.4,4,220127.59,0,,608.8,23,0.661,2.0,Xiaomi,21131,13,5,1,1,1.0,0
C100041,41,M,Санкт-Петербург,5011751,single,0,bachelor,self_employed,104372,0,0,5.1,4,75719.14,0,,578.0,43,0.869,3.3,Samsung,60928,11,3,1,0,,1
C100042,62,M,Омск,1202115,single,0,master,employed,42546,0,1,7.4,1,18970.61,0,,613.6,9,0.403,0.6,Huawei,25706,7,1,0,0,,0
C100043,62,M,Санкт-Петербург,5428845,married,1,secondary,employed,31118,1,0,2.2,1,18168.87,1,567206.06,584.4,2,0.301,0.5,Xiaomi,16957,18,1,0,0,,0
C100044,56,M,Казань,1271882,married,1,bachelor,employed,166477,1,1,4.4,3,301310.35,1,1726830.76,805.9,36,0.414,3.8,Apple,147041,14,4,0,1,0.0,1
C100045,40,M,Ростов-на-Дону,1072478,married,0,secondary,unemployed,27673,0,0,8.2,1,19339.41,1,179540.31,591.9,4,0.236,,Samsung,20111,29,0,0,0,,0
C100046,31,F,Нижний Новгород,1237980,single,0,master,employed,42998,0,0,4.4,1,53097.39,0,,538.0,25,0.871,1.2,Xiaomi,25906,12,3,0,1,0.0,0
C100047,45,F,Новосибирск,1723618,married,2,secondary,employed,83736,1,1,6.1,3,108986.2,1,1570697.15,553.3,20,0.741,3.9,Samsung,69781,17,4,0,1,0.0,1
C100048,31,M,Краснодар,1084825,married,0,bachelor,self_employed,144455,0,1,3.7,2,214540.46,1,754418.13,634.2,29,0.875,2.2,Apple,88430,23,2,0,0,,0
C100049,35,M,Омск,1141264,married,4,bachelor,employed,97734,1,1,9.0,3,88207.64,1,1975686.68,735.1,24,0.775,4.2,Apple,79341,23,3,0,0,,1
C100050,30,M,Екатеринбург,1547253,single,0,master,employed,39713,1,0,12.0,1,52886.31,1,264314.83,523.8,11,0.739,2.1,Samsung,20864,45,2,0,0,,0
C100051,43,F,Челябинск,1217526,single,1,master,employed,81197,0,0,0.5,2,555555.0,1,863744.56,539.6,30,0.602,15.7,Xiaomi,21911,16,2,1,0,,0
C100052,68,M,Москва,12910940,married,4,master,employed,185443,1,1,16.2,5,788927.89,1,1227373.68,694.0,24,0.451,1.6,Apple,121072,6,4,0,1,0.0,1
C100053,44,F,Новосибирск,1641714,single,1,master,employed,108598,1,0,9.0,4,62018.99,1,576489.84,670.5,31,0.874,5.8,Apple,85313,3,2,0,1,0.0,1
C100054,35,M,Омск,1175724,single,0,bachelor,employed,162930,1,1,10.4,2,425839.08,1,2560326.19,747.6,45,0.732,9.3,Samsung,78120,3,1,0,0,,1
C100055,25,F,Самара,1148384,single,0,bachelor,employed,39705,0,1,0.8,4,23179.37,0,,657.7,13,0.705,3.1,Xiaomi,11915,29,1,1,1,0.0,0
C100056,26,M,Москва,12980405,single,0,bachelor,self_employed,214949,0,0,7.9,3,498430.6,1,6636535.28,752.9,53,0.992,15.1,Samsung,54418,9,1,0,0,,1
C100057,46,F,Нижний Новгород,1239395,married,1,secondary,employed,46735,0,1,7.7,2,56465.4,0,,610.9,20,0.584,5.0,Samsung,22219,41,3,1,1,1.0,0
C100058,31,M,Москва,12564092,single,1,secondary,employed,84925,0,0,13.0,1,52890.52,1,923189.43,665.1,25,0.821,7.9,Other,12787,31,3,0,1,0.0,0
C100059,65,M,Краснодар,1139562,married,1,secondary,employed,66856,0,1,5.8,2,53895.45,0,,602.7,24,0.76,5.6,Xiaomi,26725,11,1,0,1,2.0,0
C100060,40,M,Омск,1099840,married,4,bachelor,employed,35765,0,1,4.6,2,21759.86,0,,495.0,7,0.501,4.1,Samsung,29156,35,2,0,0,,0
C100061,48,M,Самара,1218329,married,0,secondary,employed,26708,1,0,7.8,1,5914.48,0,,501.9,2,0.447,0.9,Huawei,12239,16,0,0,0,,0
C100062,48,F,Омск,1138793,married,1,bachelor,employed,132578,1,1,7.3,4,164541.76,0,,713.8,18,0.487,3.5,OnePlus,30940,11,1,0,1,0.0,0
C100063,56,F,Уфа,1158637,married,3,bachelor,employed,57226,1,1,5.1,2,26431.86,0,,733.7,4,0.417,1.1,Xiaomi,31466,19,2,0,1,1.0,0
C100064,45,F,Самара,1195794,married,1,bachelor,employed,52209,0,1,0.6,1,87965.6,0,,,9,0.523,1.7,Other,9134,8,4,0,1,1.0,0
C100065,29,M,Санкт-Петербург,5468665,single,0,secondary,employed,107684,0,1,7.7,3,251054.32,0,,636.9,35,0.808,0.8,Xiaomi,23565,38,1,1,0,,0
C100066,55,F,Нижний Новгород,1200008,married,0,master,self_employed,32970,0,0,5.7,1,6858.59,1,294747.01,563.4,15,0.556,3.9,Xiaomi,16727,31,2,0,0,,0
C100067,34,M,Омск,1073177,single,0,bachelor,employed,31183,0,0,1.5,3,11825.74,0,,523.0,12,0.69,2.6,Other,9635,14,3,0,0,,0
C100068,28,M,Омск,1125962,married,1,bachelor,self_employed,108361,1,1,3.5,4,434019.92,1,1016018.97,689.4,52,0.917,4.3,Huawei,33798,15,2,1,0,,1
C100069,28,F,Новосибирск,1669702,single,0,bachelor,employed,91799,0,1,10.0,6,137160.8,1,913792.44,565.3,36,0.871,12.6,Apple,66795,12,3,0,0,,1
C100070,45,M,Москва,12411170,married,1,master,self_employed,417589,1,1,7.0,5,585621.46,0,,850.0,62,0.906,3.2,Apple,149412,3,4,0,1,0.0,1
C100071,40,M,Казань,1229154,single,1,bachelor,employed,33951,1,1,13.3,2,31598.63,0,,532.1,2,0.27,0.7,Huawei,11210,32,1,0,0,,0
C100072,40,M,Самара,1176965,married,1,bachelor,employed,35522,1,0,2.6,2,8111.28,0,,,11,0.819,4.5,Other,14581,7,3,0,1,0.0,0
C100073,49,F,Краснодар,1104819,divorced,2,secondary,employed,37455,0,0,4.0,3,16849.41,0,,613.8,7,0.401,2.6,Xiaomi,6832,43,0,0,0,,0
C100074,45,M,Санкт-Петербург,5392706,single,2,master,self_employed,110623,1,0,13.7,3,247206.12,1,1002421.61,701.1,29,0.47,4.5,Samsung,54561,38,5,0,1,0.0,1
C100075,32,F,Москва,12864726,single,0,bachelor,employed,137257,1,1,14.0,5,454971.34,1,941853.25,712.1,48,0.899,1.0,Samsung,54720,10,4,1,1,1.0,1
C100076,39,F,Новосибирск,1572241,married,2,master,self_employed,82413,0,1,7.5,3,81603.39,1,857585.62,642.8,36,0.828,3.2,Xiaomi,21900,2,0,1,1,2.0,1
C100077,25,F,Нижний Новгород,1208995,single,1,bachelor,employed,94388,0,1,7.0,3,178645.9,0,,615.8,32,0.905,7.3,Google,68968,16,5,0,0,,1
C100078,42,F,Самара,1168022,married,3,bachelor,employed,117876,0,0,8.6,5,310317.59,0,,728.6,33,0.725,1.9,Xiaomi,38654,7,4,1,1,0.0,1
C100079,72,F,Омск,1141265,married,5,bachelor,self_employed,68644,1,1,4.7,3,192289.06,1,1143007.71,577.1,20,0.53,2.5,Huawei,18033,48,3,0,1,0.0,0
C100080,39,F,Новосибирск,1627909,married,0,bachelor,employed,58206,0,1,5.5,1,78086.85,1,484298.06,670.2,24,0.862,5.1,OnePlus,30410,17,2,1,1,1.0,1
C100081,32,F,Москва,12417969,single,0,bachelor,employed,121760,0,0,9.4,2,329721.22,1,2618744.38,,47,0.951,6.6,Apple,126767,8,1,0,0,,1
C100082,27,F,Санкт-Петербург,5255671,single,0,bachelor,employed,110712,0,1,1.1,3,72759.83,1,902595.34,716.9,40,0.857,8.1,Xiaomi,39369,2,5,0,1,1.0,1
C100083,36,F,Москва,12955315,single,0,secondary,employed,125312,1,0,3.3,4,288542.63,1,846754.66,614.5,42,0.904,10.4,Samsung,50850,48,6,0,0,,0
C100084,33,F,Новосибирск,1657194,single,0,bachelor,employed,93512,1,0,4.0,4,51963.57,1,506948.0,709.8,34,0.894,3.4,Other,22831,8,7,0,1,0.0,0
C100085,23,M,Омск,1127420,single,0,master,employed,54143,0,0,5.0,2,11892.31,0,,617.9,19,0.853,4.2,Xiaomi,15426,28,1,0,0,,0
C100086,66,M,Челябинск,1206132,married,1,bachelor,employed,36982,0,1,13.1,1,38399.14,0,,576.6,2,0.114,0.4,Xiaomi,20209,14,0,0,1,0.0,0
C100087,26,F,Ростов-на-Дону,1151907,single,0,secondary,employed,59261,0,0,6.5,3,70084.14,1,778788.71,616.4,30,0.865,4.0,Apple,100517,10,1,0,0,,1
C100088,24,F,Екатеринбург,1390074,married,1,bachelor,self_employed,106562,1,1,0.7,3,56105.73,1,1155119.03,742.6,35,0.869,7.1,Samsung,73532,9,2,0,1,1.0,1
C100089,34,F,Краснодар,1093745,single,1,bachelor,employed,61544,0,0,1.2,1,25761.32,0,,597.8,18,0.646,4.7,Other,10301,16,5,0,0,,0
C100090,31,M,Челябинск,1223128,single,0,bachelor,self_employed,73920,1,0,4.7,3,116831.17,1,604199.94,549.6,31,0.778,3.4,Other,9637,13,3,0,0,,0
C100091,32,M,Новосибирск,1605282,single,1,master,employed,49166,1,0,8.9,2,28638.02,0,,629.5,18,0.625,3.5,Xiaomi,15004,22,2,0,1,0.0,0
C100092,27,F,Москва,12719341,single,0,bachelor,employed,289870,1,1,9.0,4,1371909.77,1,1416683.69,816.2,49,0.95,24.4,Apple,124615,8,3,0,1,0.0,1
C100093,30,F,Челябинск,1170032,married,0,secondary,employed,43257,1,0,7.9,4,42394.57,1,504242.87,589.1,18,0.835,4.3,Xiaomi,12792,17,1,0,1,1.0,0
C100094,55,M,Омск,1116810,married,0,secondary,employed,59270,0,0,2.0,2,133392.25,1,144441.13,563.4,16,0.552,2.0,Xiaomi,26629,16,2,0,0,,0
C100095,55,F,Москва,12849418,single,0,bachelor,self_employed,168535,1,1,15.8,3,892950.59,0,,807.9,32,0.808,,Xiaomi,27870,43,4,1,1,1.0,1
C100096,28,F,Москва,12911846,married,0,secondary,employed,90027,0,0,9.6,2,58769.4,1,690024.46,678.2,39,0.998,11.3,Xiaomi,32506,6,1,0,0,,0
C100097,46,F,Казань,1350471,married,1,bachelor,employed,66825,0,0,20.4,5,172437.97,1,723228.81,774.0,29,0.809,0.5,Other,9023,15,4,0,1,0.0,0
C100098,31,M,Краснодар,1047865,single,0,secondary,self_employed,95295,1,1,4.8,4,90893.35,0,,674.8,17,0.478,1.8,OnePlus,57443,7,6,0,1,0.0,1
C100099,39,M,Москва,12599645,married,2,bachelor,employed,104037,1,0,6.4,3,108679.99,1,255008.36,713.2,38,0.976,4.5,Samsung,121887,5,2,0,1,0.0,1
C100100,62,F,Санкт-Петербург,5208392,married,1,master,employed,129651,1,1,7.5,7,259461.03,1,1381535.18,797.0,21,0.508,,Other,24542,1,2,0,1,1.0,0
C100101,35,M,Омск,1167178,married,2,master,unemployed,41156,0,1,7.3,3,17159.13,1,66422.22,496.8,5,0.304,1.6,Samsung,42177,2,1,0,1,1.0,0
C100102,31,F,Казань,1315653,married,0,bachelor,employed,51575,0,0,1.4,2,12284.07,1,354134.04,596.4,21,0.841,5.0,Xiaomi,14407,23,2,0,0,,0
C100103,39,F,Санкт-Петербург,5367142,single,0,secondary,employed,87173,1,0,0.7,1,132978.86,1,974488.52,634.7,31,0.789,1.4,Xiaomi,15490,48,4,1,0,,0
C100104,56,F,Санкт-Петербург,5640972,married,2,secondary,self_employed,90171,1,1,14.9,6,180395.87,1,2169275.88,572.2,23,0.579,2.0,Samsung,49241,20,1,1,1,1.0,1
C100105,28,M,Екатеринбург,1429253,married,1,bachelor,unemployed,34944,0,0,9.0,2,14012.55,0,,408.0,12,0.736,2.6,Samsung,29989,17,1,0,0,,0
C100106,66,M,Москва,12984991,married,3,bachelor,self_employed,217930,1,1,4.7,4,909676.5,0,,692.8,41,0.66,5.0,Samsung,50432,27,6,0,1,0.0,0
C100107,31,M,Санкт-Петербург,5404271,single,0,bachelor,employed,191163,1,0,5.4,2,324407.49,1,1038091.49,717.4,31,0.678,1.1,Apple,116390,10,2,0,1,0.0,1
C100108,68,M,Казань,1280917,married,1,master,employed,74763,0,1,1.1,1,100181.37,0,,,11,0.504,2.2,Samsung,63355,4,2,0,0,,0
C100109,52,F,Ростов-на-Дону,1170865,married,2,bachelor,employed,125424,1,1,11.4,6,136895.08,0,,651.8,21,0.518,3.2,Xiaomi,37554,7,2,1,1,0.0,1
C100110,18,M,Санкт-Петербург,5278070,single,0,master,self_employed,109068,0,0,0.0,2,46387.37,0,,,28,0.97,17.7,Apple,110611,19,2,1,0,,1
C100111,51,M,Омск,1111065,single,0,bachelor,employed,32523,0,0,1.2,1,40376.41,0,,454.4,2,0.194,0.9,Xiaomi,29969,17,2,0,0,,0
C100112,39,F,Москва,12870754,single,0,secondary,employed,151324,0,0,3.0,4,292528.37,1,695478.04,733.1,43,0.98,4.9,Samsung,60359,22,6,0,1,0.0,1
C100113,24,F,Казань,1298577,single,1,bachelor,self_employed,67304,0,0,1.2,3,88663.14,1,1608126.14,623.8,22,0.853,6.4,Samsung,45366,3,3,1,0,,1
C100114,50,M,Омск,1120445,married,1,secondary,self_employed,99237,0,1,6.6,5,90504.76,1,5836521.47,569.9,21,0.395,1.5,Huawei,47894,6,3,1,1,2.0,1
C100115,22,M,Краснодар,1089947,single,0,master,employed,41499,1,0,3.1,2,30826.57,0,,,28,0.811,7.7,Samsung,37811,19,3,1,0,,0
C100116,39,M,Челябинск,1169620,single,0,secondary,employed,109290,1,0,21.0,4,31693.31,1,2340672.95,780.8,30,0.812,5.0,Samsung,53114,29,3,1,1,1.0,1
C100117,46,F,Челябинск,1223116,married,1,bachelor,employed,52582,1,0,3.9,2,44350.61,0,,615.7,21,0.715,5.6,Xiaomi,15394,17,1,0,0,,0
C100118,52,F,Санкт-Петербург,5132089,single,0,master,employed,100355,0,0,8.2,4,122732.38,1,516819.62,681.0,24,0.729,2.3,Xiaomi,44139,22,2,0,1,0.0,0
C100119,49,F,Санкт-Петербург,5294520,married,3,master,self_employed,206119,1,1,3.9,4,514215.77,1,4796349.51,742.2,39,0.59,5.2,Samsung,92704,6,6,0,1,0.0,1
C100120,43,F,Самара,1151204,married,2,master,employed,72224,0,1,7.9,4,50805.54,1,338483.55,688.2,30,0.74,10.3,Other,8958,9,6,0,0,,0
C100121,42,F,Ростов-на-Дону,1133940,married,0,bachelor,self_employed,141158,0,0,24.0,3,174740.25,1,1855683.11,750.6,52,0.861,8.0,Samsung,68573,15,5,0,0,,1
C100122,29,M,Краснодар,1162569,single,0,bachelor,employed,44357,0,0,0.8,1,10579.42,0,,,13,0.776,7.5,Xiaomi,22118,6,5,1,0,,0
C100123,28,M,Нижний Новгород,1178749,single,0,bachelor,employed,52259,0,0,7.7,5,253139.94,1,1070660.09,586.4,22,0.671,3.2,Other,8611,22,4,0,0,,0
C100124,20,F,Самара,1165670,married,0,bachelor,employed,74790,0,0,2.0,2,91281.8,1,991910.87,546.9,29,0.999,2.2,Samsung,37965,19,3,0,0,,0
C100125,32,M,Омск,1085084,single,0,secondary,employed,73524,1,0,2.3,1,86016.24,1,800357.25,614.5,29,0.78,6.2,Other,11758,21,0,0,0,,0
C100126,29,F,Санкт-Петербург,5600053,single,0,bachelor,employed,104691,0,0,2.5,4,110516.94,1,2609939.22,663.8,48,0.936,8.1,Samsung,30191,31,3,1,1,0.0,1
C100127,57,M,Екатеринбург,1564139,married,4,bachelor,self_employed,51735,0,1,13.7,2,56177.74,1,280476.54,629.3,7,0.258,0.3,Samsung,46420,25,2,0,1,1.0,0
C100128,36,F,Москва,12795016,married,2,secondary,self_employed,142442,1,0,8.0,3,153051.99,1,2059735.9,596.9,46,0.888,23.8,Apple,97157,15,6,1,0,,1
C100129,42,F,Краснодар,1147315,married,1,secondary,employed,119552,1,1,4.3,2,176055.17,1,432050.66,634.7,43,0.729,6.9,Samsung,81000,5,2,0,0,,1
C100130,52,M,Омск,1144456,married,3,bachelor,employed,106009,1,1,9.7,5,188025.72,1,1608914.75,780.3,27,0.825,4.9,Xiaomi,32433,13,2,0,1,0.0,1
C100131,32,M,Москва,12357991,single,0,bachelor,employed,100595,1,0,2.9,2,217353.44,1,2924552.85,697.1,29,0.964,6.0,Apple,66979,28,5,0,0,,1
C100132,44,F,Москва,12573387,single,0,secondary,employed,79542,1,1,2.6,3,76556.02,1,606866.54,699.3,29,0.907,2.5,Xiaomi,63301,5,4,1,1,0.0,1
C100133,30,F,Москва,12615979,single,0,bachelor,employed,55194,0,0,12.0,3,26203.38,1,819850.89,559.6,38,0.926,4.6,Samsung,46030,3,3,0,0,,1
C100134,33,M,Краснодар,1101202,single,0,bachelor,employed,112807,1,0,1.4,3,96773.54,1,820294.7,738.4,28,0.64,5.2,Huawei,46665,9,4,0,0,,0
C100135,24,F,Омск,1105199,single,0,bachelor,employed,59644,0,0,6.0,4,27737.28,1,214841.63,639.5,21,0.852,1.1,Xiaomi,12776,48,4,1,0,,0
C100136,64,M,Казань,1288993,married,1,secondary,employed,39707,0,1,9.4,2,92686.43,0,,600.0,3,0.205,0.9,Other,7375,29,0,0,1,0.0,0
C100137,34,F,Москва,12057029,single,0,master,employed,102615,1,1,16.0,3,72329.73,0,,714.1,33,0.949,4.1,Xiaomi,33598,12,0,1,1,0.0,1
C100138,38,F,Москва,12387207,married,3,secondary,employed,104777,0,1,20.0,4,255512.9,1,3104838.26,737.5,32,0.657,14.5,Samsung,47040,33,1,0,1,0.0,1
C100139,31,F,Новосибирск,1617354,married,0,bachelor,employed,51130,0,0,1.2,1,49343.48,1,376884.84,451.2,21,0.879,,Huawei,12693,40,4,0,0,,0
C100140,26,F,Нижний Новгород,1247034,single,0,secondary,employed,21864,0,0,8.0,1,15211.37,0,,390.4,7,0.773,8.2,Huawei,9449,2,0,0,0,,0
C100141,65,M,Москва,12405631,married,5,bachelor,employed,129566,1,1,4.5,4,181035.63,0,,654.1,30,0.576,7.2,Apple,141749,1,5,1,1,2.0,1
C100142,43,F,Москва,12330512,single,0,bachelor,employed,158014,0,0,9.2,2,345189.11,0,,675.0,39,0.844,15.5,Samsung,53060,12,1,0,1,0.0,1
C100143,54,M,Омск,1094322,married,1,secondary,self_employed,87740,0,1,18.6,4,207243.15,1,529578.43,743.2,36,0.746,4.4,Xiaomi,32517,5,2,0,1,0.0,1
C100144,29,M,Новосибирск,1714878,single,0,bachelor,self_employed,30336,0,0,10.4,2,24757.45,1,419978.35,624.7,8,0.775,6.8,Google,29563,26,1,0,0,,0
C100145,50,F,Казань,1260137,married,1,bachelor,employed,120074,0,1,2.3,4,170959.93,1,299193.74,756.4,31,0.542,2.7,Samsung,53078,12,6,1,0,,0
C100146,30,M,Казань,1373439,single,0,secondary,employed,74932,1,1,12.0,3,63658.35,0,,630.5,33,0.813,8.0,OnePlus,39492,13,5,1,0,,1
C100147,20,M,Санкт-Петербург,5163906,single,0,master,employed,124107,1,0,2.0,1,289485.39,1,2488445.02,692.9,30,0.902,1.7,Apple,111260,18,3,0,0,,1
C100148,33,F,Казань,1401986,married,0,bachelor,employed,42055,0,0,7.4,2,19238.72,0,,652.1,31,0.87,7.3,Xiaomi,16532,48,2,0,0,,0
C100149,60,F,Санкт-Петербург,5215598,married,4,bachelor,employed,113301,1,0,1.3,2,204131.09,1,517700.54,592.3,22,0.742,2.5,Apple,111763,7,2,1,0,,1
C100150,20,F,Уфа,1164589,single,0,bachelor,employed,45625,0,0,2.0,2,30043.12,1,400632.42,,33,0.881,7.8,Samsung,41571,12,1,0,1,0.0,0
C100151,31,M,Москва,12330444,single,0,master,employed,193694,1,1,9.7,4,147222.61,1,4816223.7,819.4,48,0.82,6.0,Samsung,99968,6,4,0,1,1.0,1
C100152,38,F,Новосибирск,1606554,single,0,bachelor,employed,71032,1,0,2.8,2,29568.84,0,,670.7,28,0.677,2.2,Apple,69051,12,0,1,0,,0
C100153,39,F,Омск,1160910,married,1,bachelor,employed,97733,1,1,9.8,3,146479.57,0,,666.2,34,0.865,1.0,Samsung,45836,26,4,1,1,0.0,1
C100154,49,M,Нижний Новгород,1275431,single,0,secondary,self_employed,49160,0,0,5.8,1,45984.6,0,,535.7,17,0.506,3.0,Other,13927,17,0,0,1,0.0,0
